X,Y, Penetration Depth, Penetration Angle, Seconds to Capture
50,80,2.5,0,0.5
50,69.667,2.5,0,0.5
50,59.333,2.5,0,0.5
50,49,2.5,0,0.5
50,38.667,2.5,0,0.5
50,28.333,2.5,0,0.5
50,18,2.5,0,0.5
45,80,2.5,0,0.5
45,69.667,2.5,0,0.5
45,59.333,2.5,0,0.5
45,49,2.5,0,0.5
45,38.667,2.5,0,0.5
45,28.333,2.5,0,0.5
45,18,2.5,0,0.5
40,80,2.5,0,0.5
40,69.667,2.5,0,0.5
40,59.333,2.5,0,0.5
40,49,2.5,0,0.5
40,38.667,2.5,0,0.5
40,28.333,2.5,0,0.5
40,18,2.5,0,0.5
35,80,2.5,0,0.5
35,69.667,2.5,0,0.5
35,59.333,2.5,0,0.5
35,49,2.5,0,0.5
35,38.667,2.5,0,0.5
35,28.333,2.5,0,0.5
35,18,2.5,0,0.5
30,80,2.5,0,0.5
30,69.667,2.5,0,0.5
30,59.333,2.5,0,0.5
30,49,2.5,0,0.5
30,38.667,2.5,0,0.5
30,28.333,2.5,0,0.5
30,18,2.5,0,0.5
25,80,2.5,0,0.5
25,69.667,2.5,0,0.5
25,59.333,2.5,0,0.5
25,49,2.5,0,0.5
25,38.667,2.5,0,0.5
25,28.333,2.5,0,0.5
25,18,2.5,0,0.5
20,80,2.5,0,0.5
20,69.667,2.5,0,0.5
20,59.333,2.5,0,0.5
20,49,2.5,0,0.5
20,38.667,2.5,0,0.5
20,28.333,2.5,0,0.5
20,18,2.5,0,0.5
15,80,2.5,0,0.5
15,69.667,2.5,0,0.5
15,59.333,2.5,0,0.5
15,49,2.5,0,0.5
15,38.667,2.5,0,0.5
15,28.333,2.5,0,0.5
15,18,2.5,0,0.5
10,80,2.5,0,0.5
10,69.667,2.5,0,0.5
10,59.333,2.5,0,0.5
10,49,2.5,0,0.5
10,38.667,2.5,0,0.5
10,28.333,2.5,0,0.5
10,18,2.5,0,0.5
