X,Y, Penetration Depth, Penetration Angle, Seconds to Capture
60,68.5,2.5,0,0.5
60,60.417,2.5,0,0.5
60,52.333,2.5,0,0.5
60,44.25,2.5,0,0.5
60,36.167,2.5,0,0.5
60,28.083,2.5,0,0.5
60,20,2.5,0,0.5
50,68.5,2.5,0,0.5
50,60.417,2.5,0,0.5
50,52.333,2.5,0,0.5
50,44.25,2.5,0,0.5
50,36.167,2.5,0,0.5
50,28.083,2.5,0,0.5
50,20,2.5,0,0.5
40,68.5,2.5,0,0.5
40,60.417,2.5,0,0.5
40,52.333,2.5,0,0.5
40,44.25,2.5,0,0.5
40,36.167,2.5,0,0.5
40,28.083,2.5,0,0.5
40,20,2.5,0,0.5
30,68.5,2.5,0,0.5
30,60.417,2.5,0,0.5
30,52.333,2.5,0,0.5
30,44.25,2.5,0,0.5
30,36.167,2.5,0,0.5
30,28.083,2.5,0,0.5
30,20,2.5,0,0.5
20,68.5,2.5,0,0.5
20,60.417,2.5,0,0.5
20,52.333,2.5,0,0.5
20,44.25,2.5,0,0.5
20,36.167,2.5,0,0.5
20,28.083,2.5,0,0.5
20,20,2.5,0,0.5
10,68.5,2.5,0,0.5
10,60.417,2.5,0,0.5
10,52.333,2.5,0,0.5
10,44.25,2.5,0,0.5
10,36.167,2.5,0,0.5
10,28.083,2.5,0,0.5
10,20,2.5,0,0.5
